STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_threats,Total_fem,safety_index
MADHYA PRADESH,Katni,2014,93,114,18,178,4,65,0,472,35014503,1.35E-05
MADHYA PRADESH,Khandwa,2014,84,101,6,270,17,103,0,581,35014503,1.66E-05
MADHYA PRADESH,Khargone,2014,118,116,43,247,0,74,0,598,35014503,1.71E-05
MADHYA PRADESH,Mandla,2014,64,131,6,99,1,76,0,377,35014503,1.08E-05
MADHYA PRADESH,Mandsaur,2014,90,86,5,183,7,180,0,551,35014503,1.57E-05
MADHYA PRADESH,Morena,2014,43,85,30,131,4,192,0,485,35014503,1.39E-05
MADHYA PRADESH,Narsinghpur,2014,113,53,20,165,2,145,0,498,35014503,1.42E-05
MADHYA PRADESH,Neemuch,2014,47,27,3,88,2,43,0,210,35014503,6.00E-06
MADHYA PRADESH,Panna,2014,41,125,10,84,0,38,0,298,35014503,8.51E-06
MADHYA PRADESH,Raisen,2014,161,69,5,225,8,76,0,544,35014503,1.55E-05
MADHYA PRADESH,Rajgarh,2014,94,97,5,235,7,134,0,572,35014503,1.63E-05
MADHYA PRADESH,Ratlam,2014,69,133,5,151,12,129,0,499,35014503,1.43E-05
MADHYA PRADESH,Rewa,2014,110,202,36,169,1,90,0,608,35014503,1.74E-05
MADHYA PRADESH,Sagar,2014,126,170,35,405,10,175,0,921,35014503,2.63E-05
MADHYA PRADESH,Satna,2014,187,248,30,254,24,116,0,859,35014503,2.45E-05
MADHYA PRADESH,Seoni,2014,83,121,9,137,3,47,0,400,35014503,1.14E-05
MADHYA PRADESH,Shahdol,2014,122,121,16,272,3,336,0,870,35014503,2.48E-05
MADHYA PRADESH,Shajapur,2014,68,31,7,139,0,130,0,375,35014503,1.07E-05
MADHYA PRADESH,Sheopur,2014,23,22,5,57,4,37,0,148,35014503,4.23E-06
MADHYA PRADESH,Shivpuri,2014,101,123,11,269,4,111,0,619,35014503,1.77E-05
MADHYA PRADESH,Sidhi,2014,40,72,14,100,3,68,0,297,35014503,8.48E-06
MADHYA PRADESH,Sehore,2014,124,114,12,162,6,158,0,576,35014503,1.65E-05
MADHYA PRADESH,Singrauli,2014,88,94,17,97,1,105,0,402,35014503,1.15E-05
MADHYA PRADESH,Tikamgarh,2014,92,65,15,133,6,42,0,353,35014503,1.01E-05
MADHYA PRADESH,Ujjain,2014,126,96,11,282,29,285,0,829,35014503,2.37E-05
MADHYA PRADESH,Umaria,2014,51,42,2,104,3,90,0,292,35014503,8.34E-06
MADHYA PRADESH,Vidisha,2014,156,90,21,299,18,162,0,746,35014503,2.13E-05
MADHYA PRADESH,Cyber Cell,2014,0,0,0,0,0,0,0,0,35014503,0
