STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_threats,Total_fem,safety_index
ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,0,454,42138631,1.08E-05
ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,0,356,42138631,8.45E-06
ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,0,456,42138631,1.08E-05
ANDHRA PRADESH,CUDDAPAH,2001,20,20,17,126,38,57,0,278,42138631,6.60E-06
ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,0,475,42138631,1.13E-05
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,1,0,0,0,1,42138631,2.37E-08
ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,0,758,42138631,1.80E-05
ANDHRA PRADESH,HYDERABAD CITY,2001,37,39,24,118,27,746,0,991,42138631,2.35E-05
ANDHRA PRADESH,KARIMNAGAR,2001,56,49,62,414,81,224,0,886,42138631,2.10E-05
ANDHRA PRADESH,KHAMMAM,2001,47,30,17,180,336,172,0,782,42138631,1.86E-05
ANDHRA PRADESH,KRISHNA,2001,37,21,10,208,72,265,0,613,42138631,1.45E-05
ANDHRA PRADESH,KURNOOL,2001,29,47,13,141,107,92,0,429,42138631,1.02E-05
ANDHRA PRADESH,MAHABOOBNAGAR,2001,59,27,14,176,41,69,0,386,42138631,9.16E-06
ANDHRA PRADESH,MEDAK,2001,35,20,26,100,25,192,0,398,42138631,9.45E-06
ANDHRA PRADESH,NALGONDA,2001,35,19,31,188,59,214,0,546,42138631,1.30E-05
ANDHRA PRADESH,NELLORE,2001,46,80,10,207,228,287,0,858,42138631,2.04E-05
ANDHRA PRADESH,NIZAMABAD,2001,21,21,19,55,15,228,0,359,42138631,8.52E-06
ANDHRA PRADESH,PRAKASHAM,2001,19,12,5,140,100,119,0,395,42138631,9.37E-06
ANDHRA PRADESH,RANGA REDDY,2001,72,83,37,113,55,421,7,788,42138631,1.87E-05
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,1,0,1,0,0,2,42138631,4.75E-08
ANDHRA PRADESH,SRIKAKULAM,2001,8,12,6,38,47,108,0,219,42138631,5.20E-06
ANDHRA PRADESH,VIJAYAWADA,2001,25,48,2,84,122,520,0,801,42138631,1.90E-05
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,1,0,0,1,1,0,0,3,42138631,7.12E-08
ANDHRA PRADESH,VISAKHA RURAL,2001,12,12,3,67,48,99,0,241,42138631,5.72E-06
ANDHRA PRADESH,VISAKHAPATNAM,2001,13,6,0,33,462,204,0,718,42138631,1.70E-05
ANDHRA PRADESH,VIZIANAGARAM,2001,8,2,0,40,22,121,0,193,42138631,4.58E-06
ANDHRA PRADESH,WARANGAL,2001,53,25,52,241,0,165,0,536,42138631,1.27E-05
ANDHRA PRADESH,WEST GODAVARI,2001,61,21,15,246,56,348,0,747,42138631,1.77E-05
ANDHRA PRADESH,TOTAL,2001,871,765,420,3544,2271,5791,7,13669,42138631,0.000324382
ARUNACHAL PRADESH,CHANGLANG,2001,1,2,0,3,0,0,0,6,669815,8.96E-06
ARUNACHAL PRADESH,DIBANG VALLEY,2001,2,4,0,4,0,2,0,12,669815,1.79E-05
ARUNACHAL PRADESH,KAMENG EAST,2001,2,5,0,5,0,0,0,12,669815,1.79E-05
ARUNACHAL PRADESH,KAMENG WEST,2001,0,2,0,0,0,0,0,2,669815,2.99E-06
ARUNACHAL PRADESH,LOHIT,2001,2,6,0,8,0,0,0,16,669815,2.39E-05
ARUNACHAL PRADESH,PAPUM PARE,2001,9,5,0,6,0,3,0,23,669815,3.43E-05
ARUNACHAL PRADESH,SIANG EAST,2001,5,7,0,7,0,2,0,21,669815,3.14E-05
ARUNACHAL PRADESH,SIANG UPPER,2001,2,5,0,3,0,0,0,10,669815,1.49E-05
ARUNACHAL PRADESH,SIANG WEST,2001,4,10,0,25,2,2,0,43,669815,6.42E-05
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2,5,0,4,0,0,0,11,669815,1.64E-05
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2,1,0,8,0,2,0,13,669815,1.94E-05
ARUNACHAL PRADESH,TAWANG,2001,1,0,0,5,1,0,0,7,669815,1.05E-05
ARUNACHAL PRADESH,TIRAP,2001,1,3,0,0,0,0,0,4,669815,5.97E-06
ARUNACHAL PRADESH,TOTAL,2001,33,55,0,78,3,11,0,180,669815,0.000268731
ASSAM,BARPETA,2001,28,88,10,29,0,95,0,250,15266133,1.64E-05
ASSAM,BONGAIGAON,2001,20,21,1,22,0,26,0,90,15266133,5.90E-06
ASSAM,C.I.D.,2001,0,0,0,0,0,0,0,0,15266133,0
ASSAM,CACHAR,2001,45,74,7,80,0,216,0,422,15266133,2.76E-05
ASSAM,DARRANG,2001,48,47,9,56,0,37,0,197,15266133,1.29E-05
ASSAM,DHEMAJI,2001,42,20,0,26,0,0,0,88,15266133,5.76E-06
ASSAM,DHUBRI,2001,43,51,5,49,0,111,0,259,15266133,1.70E-05
ASSAM,DIBRUGARH,2001,35,37,3,41,0,19,0,135,15266133,8.84E-06
ASSAM,G.R.P.,2001,1,0,0,0,0,0,0,1,15266133,6.55E-08
ASSAM,GOALPARA,2001,35,35,1,54,0,64,0,189,15266133,1.24E-05
ASSAM,GOLAGHAT,2001,30,40,0,23,0,26,0,119,15266133,7.80E-06
ASSAM,GUWAHATI CITY,2001,37,64,5,67,0,98,0,271,15266133,1.78E-05
ASSAM,HAILAKANDI,2001,24,34,2,27,0,28,0,115,15266133,7.53E-06
ASSAM,JORHAT,2001,42,28,2,44,0,48,0,164,15266133,1.07E-05
ASSAM,KAMRUP,2001,21,65,2,42,0,27,0,157,15266133,1.03E-05
ASSAM,KARBI ANGLONG,2001,5,15,4,5,0,8,0,37,15266133,2.42E-06
ASSAM,KARIMGANJ,2001,33,8,1,9,0,30,0,81,15266133,5.31E-06
ASSAM,KOKRAJHAR,2001,14,12,0,37,0,20,0,83,15266133,5.44E-06
ASSAM,LAKHIMPUR,2001,64,62,0,22,0,93,0,241,15266133,1.58E-05
ASSAM,MORIGAON,2001,23,37,0,6,0,28,0,94,15266133,6.16E-06
ASSAM,N.C.HILLS,2001,2,4,0,2,0,7,0,15,15266133,9.83E-07
ASSAM,NAGAON,2001,51,109,1,113,4,132,0,410,15266133,2.69E-05
ASSAM,NALBARI,2001,30,27,3,16,0,15,0,91,15266133,5.96E-06
ASSAM,R.P.O.,2001,3,0,0,0,0,0,0,3,15266133,1.97E-07
ASSAM,SIBSAGAR,2001,47,64,0,28,0,0,0,139,15266133,9.11E-06
ASSAM,SONITPUR,2001,53,80,1,43,0,99,0,276,15266133,1.81E-05
ASSAM,TINSUKIA,2001,41,48,2,9,0,21,0,121,15266133,7.93E-06
ASSAM,TOTAL,2001,817,1070,59,850,4,1248,0,4048,15266133,0.000265162
BIHAR,ARARIA,2001,93,13,11,3,0,50,0,170,49821295,3.41E-06
BIHAR,ARWAL,2001,0,0,7,11,0,14,0,32,49821295,6.42E-07
BIHAR,AURANGABAD,2001,16,4,33,13,2,19,0,87,49821295,1.75E-06
BIHAR,BAGAHA,2001,25,6,0,4,0,2,0,37,49821295,7.43E-07
BIHAR,BANKA,2001,34,10,9,0,0,16,0,69,49821295,1.38E-06
BIHAR,BEGUSARAI,2001,13,7,21,32,0,21,0,94,49821295,1.89E-06
BIHAR,BETTIAH,2001,20,23,17,23,0,54,8,145,49821295,2.91E-06
BIHAR,BHABHUA,2001,10,12,8,7,0,22,0,59,49821295,1.18E-06
BIHAR,BHAGALPUR,2001,35,9,20,15,0,52,0,131,49821295,2.63E-06
BIHAR,BHOJPUR,2001,22,13,23,0,4,29,0,91,49821295,1.83E-06
BIHAR,BUXAR,2001,8,1,15,0,0,0,0,24,49821295,4.82E-07
BIHAR,DARBHANGA,2001,19,16,37,40,0,34,0,146,49821295,2.93E-06
BIHAR,GAYA,2001,25,15,26,27,0,24,0,117,49821295,2.35E-06
BIHAR,GOPALGANJ,2001,13,18,22,0,2,155,0,210,49821295,4.22E-06
BIHAR,JAMALPUR RLY.,2001,1,0,0,1,0,1,0,3,49821295,6.02E-08
BIHAR,JAMUI,2001,10,1,16,8,0,15,0,50,49821295,1.00E-06
BIHAR,JEHANABAD,2001,6,5,25,0,0,4,0,40,49821295,8.03E-07
BIHAR,KATIHAR,2001,51,20,6,6,0,29,0,112,49821295,2.25E-06
BIHAR,KATIHAR RLY.,2001,0,1,0,2,0,0,0,3,49821295,6.02E-08
BIHAR,KHAGARIA,2001,5,6,11,6,0,2,0,30,49821295,6.02E-07
BIHAR,KISHANGANJ,2001,22,16,4,2,1,39,0,84,49821295,1.69E-06
BIHAR,LAKHISARAI,2001,10,7,6,12,0,5,0,40,49821295,8.03E-07
BIHAR,MADHEPURA,2001,11,15,6,3,0,10,0,45,49821295,9.03E-07
BIHAR,MADHUBANI,2001,13,11,12,41,0,18,0,95,49821295,1.91E-06
BIHAR,MOTIHARI,2001,44,35,37,3,1,47,0,167,49821295,3.35E-06
BIHAR,MUNGER,2001,11,15,8,0,0,39,0,73,49821295,1.47E-06
BIHAR,MUZAFFARPUR,2001,73,25,69,81,0,141,6,395,49821295,7.93E-06
BIHAR,MUZAFFARPUR RLY.,2001,2,1,0,4,0,1,0,8,49821295,1.61E-07
BIHAR,NALANDA,2001,40,12,47,14,2,54,0,169,49821295,3.39E-06
BIHAR,NAUGACHIA,2001,7,9,4,0,0,5,0,25,49821295,5.02E-07
BIHAR,NAWADAH,2001,15,1,17,7,0,13,1,54,49821295,1.08E-06
BIHAR,PATNA,2001,27,11,90,47,0,152,39,366,49821295,7.35E-06
BIHAR,PATNA RLY.,2001,1,1,0,9,0,0,0,11,49821295,2.21E-07
BIHAR,PURNEA,2001,39,23,8,5,0,22,0,97,49821295,1.95E-06
BIHAR,ROHTAS,2001,25,18,36,21,0,59,0,159,49821295,3.19E-06
BIHAR,SAHARSA,2001,12,10,7,9,0,12,0,50,49821295,1.00E-06
BIHAR,SAMASTIPUR,2001,19,29,11,17,9,35,29,149,49821295,2.99E-06
BIHAR,SARAN,2001,20,15,67,22,0,101,0,225,49821295,4.52E-06
BIHAR,SHEIKHPURA,2001,3,1,9,0,0,32,0,45,49821295,9.03E-07
BIHAR,SHEOHAR,2001,11,7,3,0,0,2,0,23,49821295,4.62E-07
BIHAR,SITAMARHI,2001,23,20,13,1,0,21,0,78,49821295,1.57E-06
BIHAR,SIWAN,2001,4,26,32,6,0,10,0,78,49821295,1.57E-06
BIHAR,SUPAUL,2001,30,2,7,8,0,18,0,65,49821295,1.30E-06
BIHAR,VAISHALI,2001,20,28,59,52,0,179,0,338,49821295,6.78E-06
BIHAR,TOTAL,2001,888,518,859,562,21,1558,83,4489,49821295,9.01E-05
CHHATTISGARH,BALRAMPUR,2001,17,1,1,18,0,7,0,44,12712303,3.46E-06
CHHATTISGARH,BILASPUR,2001,69,20,7,180,10,94,0,380,12712303,2.99E-05
CHHATTISGARH,BIZAPUR,2001,4,0,0,1,0,0,0,5,12712303,3.93E-07
CHHATTISGARH,DANTEWARA,2001,19,8,1,18,1,3,0,50,12712303,3.93E-06
CHHATTISGARH,DHAMTARI,2001,22,4,1,41,5,6,0,79,12712303,6.21E-06
CHHATTISGARH,DURG,2001,144,42,12,287,38,231,0,754,12712303,5.93E-05
CHHATTISGARH,GRP RAIPUR,2001,0,0,0,4,0,1,0,5,12712303,3.93E-07
CHHATTISGARH,JAGDALPUR,2001,59,4,3,49,2,14,0,131,12712303,1.03E-05
CHHATTISGARH,JANJGIR,2001,29,6,9,110,13,116,0,283,12712303,2.23E-05
CHHATTISGARH,JASHPUR,2001,36,2,2,41,1,4,0,86,12712303,6.77E-06
CHHATTISGARH,KANKER,2001,42,4,1,36,3,10,0,96,12712303,7.55E-06
CHHATTISGARH,KAWARDHA,2001,35,0,1,45,4,15,0,100,12712303,7.87E-06
CHHATTISGARH,KORBA,2001,46,13,1,90,7,31,0,188,12712303,1.48E-05
CHHATTISGARH,KORIYA,2001,34,7,3,102,2,31,0,179,12712303,1.41E-05
CHHATTISGARH,MAHASAMUND,2001,43,7,6,69,6,21,0,152,12712303,1.20E-05
CHHATTISGARH,RAIGARH,2001,53,6,2,104,5,22,0,192,12712303,1.51E-05
CHHATTISGARH,RAIPUR,2001,104,28,16,253,42,121,0,564,12712303,4.44E-05
CHHATTISGARH,RAJNANDGAON,2001,58,3,3,92,12,51,0,219,12712303,1.72E-05
CHHATTISGARH,SARGUJA,2001,145,16,1,223,10,62,0,457,12712303,3.59E-05
CHHATTISGARH,TOTAL,2001,959,171,70,1763,161,840,0,3964,12712303,0.000311824
GOA,NORTH GOA,2001,4,1,2,12,2,6,0,27,719405,3.75E-05
GOA,SOUTH GOA,2001,8,5,0,5,5,5,0,28,719405,3.89E-05
GOA,TOTAL,2001,12,6,2,17,7,11,0,55,719405,7.65E-05
GUJARAT,AHMEDABAD COMMR.,2001,39,117,7,54,27,530,0,774,28948432,2.67E-05
GUJARAT,AHMEDABAD RURAL,2001,5,27,0,26,0,84,0,142,28948432,4.91E-06
GUJARAT,AHWA-DANG,2001,1,1,0,2,0,2,0,6,28948432,2.07E-07
GUJARAT,AMRELI,2001,2,34,2,21,0,94,0,153,28948432,5.29E-06
GUJARAT,ANAND,2001,3,28,0,27,3,210,0,271,28948432,9.36E-06
GUJARAT,BHARUCH,2001,4,34,0,19,0,56,0,113,28948432,3.90E-06
GUJARAT,BHAVNAGAR,2001,9,51,2,36,7,129,0,234,28948432,8.08E-06
GUJARAT,DAHOD,2001,5,15,0,17,0,11,0,48,28948432,1.66E-06
GUJARAT,GANDHINAGAR,2001,4,12,3,37,7,116,0,179,28948432,6.18E-06
GUJARAT,HIMATNAGAR,2001,17,29,4,51,0,165,0,266,28948432,9.19E-06
GUJARAT,JAMNAGAR,2001,20,22,2,18,2,163,0,227,28948432,7.84E-06
GUJARAT,JUNAGADH,2001,14,39,11,44,8,384,0,500,28948432,1.73E-05
GUJARAT,KHEDA NORTH,2001,11,30,0,43,0,122,0,206,28948432,7.12E-06
GUJARAT,KUTCH,2001,2,22,2,25,1,176,0,228,28948432,7.88E-06
GUJARAT,MEHSANA,2001,4,49,5,47,1,188,0,294,28948432,1.02E-05
GUJARAT,NARMADA,2001,8,8,0,7,1,9,0,33,28948432,1.14E-06
GUJARAT,NAVSARI,2001,2,5,0,6,0,17,0,30,28948432,1.04E-06
GUJARAT,PALANPUR,2001,18,35,2,50,2,152,0,259,28948432,8.95E-06
GUJARAT,PANCHMAHAL,2001,5,46,0,1,23,43,0,118,28948432,4.08E-06
GUJARAT,PATAN,2001,3,21,0,23,0,78,0,125,28948432,4.32E-06
GUJARAT,PORBANDAR,2001,6,5,0,10,0,64,0,85,28948432,2.94E-06
GUJARAT,RAJKOT COMMR.,2001,5,38,3,19,12,199,0,276,28948432,9.53E-06
GUJARAT,RAJKOT RURAL,2001,20,35,2,45,3,206,0,311,28948432,1.07E-05
GUJARAT,SURAT COMMR.,2001,11,37,20,10,1,132,0,211,28948432,7.29E-06
GUJARAT,SURAT RURAL,2001,26,16,0,11,0,34,0,87,28948432,3.01E-06
GUJARAT,SURENDRANAGAR,2001,11,24,2,45,3,75,0,160,28948432,5.53E-06
GUJARAT,VADODARA COMMR.,2001,3,32,0,11,10,90,0,146,28948432,5.04E-06
GUJARAT,VADODARA RURAL,2001,18,34,0,34,0,81,0,167,28948432,5.77E-06
GUJARAT,VALSAD,2001,9,11,0,10,0,50,0,80,28948432,2.76E-06
GUJARAT,W.RLY,2001,1,0,0,7,0,7,0,15,28948432,5.18E-07
GUJARAT,TOTAL,2001,286,857,67,756,111,3667,0,5744,28948432,0.000198422
HARYANA,AMBALA,2001,11,32,11,27,0,132,0,213,11856728,1.80E-05
HARYANA,BHIWANI,2001,10,7,33,17,0,43,0,110,11856728,9.28E-06
HARYANA,FARIDABAD,2001,37,53,19,47,242,108,0,506,11856728,4.27E-05
HARYANA,FATEHABAD,2001,17,13,17,17,0,93,0,157,11856728,1.32E-05
HARYANA,GRP,2001,0,2,5,1,26,0,0,34,11856728,2.87E-06
HARYANA,GURGAON,2001,32,32,17,21,21,136,0,259,11856728,2.18E-05
HARYANA,HISSAR,2001,10,18,24,33,0,117,0,202,11856728,1.70E-05
HARYANA,JHAJJAR,2001,21,8,20,42,13,122,0,226,11856728,1.91E-05
HARYANA,JIND,2001,21,8,11,22,29,67,0,158,11856728,1.33E-05
HARYANA,KAITHAL,2001,16,8,9,19,0,105,0,157,11856728,1.32E-05
HARYANA,KARNAL,2001,44,10,18,28,2,97,0,199,11856728,1.68E-05
HARYANA,KURUKSHETRA,2001,31,14,10,28,8,68,0,159,11856728,1.34E-05
HARYANA,MAHENDRAGARH,2001,11,8,8,19,0,23,0,69,11856728,5.82E-06
HARYANA,PANCHKULA,2001,6,15,4,23,10,43,0,101,11856728,8.52E-06
HARYANA,PANIPAT,2001,38,10,11,16,11,92,0,178,11856728,1.50E-05
HARYANA,REWARI,2001,11,11,12,17,0,14,0,65,11856728,5.48E-06
HARYANA,ROHTAK,2001,28,6,17,26,20,41,0,138,11856728,1.16E-05
HARYANA,SIRSA,2001,17,7,12,23,0,98,0,157,11856728,1.32E-05
HARYANA,SONIPAT,2001,15,12,18,22,14,51,0,132,11856728,1.11E-05
HARYANA,YAMUNANAGAR,2001,22,23,9,30,5,63,0,152,11856728,1.28E-05
HARYANA,TOTAL,2001,398,297,285,478,401,1513,0,3372,11856728,0.000284395
HIMACHAL PRADESH,BILASPUR,2001,5,9,1,35,1,47,0,98,3382729,2.90E-05
HIMACHAL PRADESH,CHAMBA,2001,12,15,0,23,1,21,0,72,3382729,2.13E-05
HIMACHAL PRADESH,G.R.P.,2001,0,0,0,0,0,0,0,0,3382729,0
HIMACHAL PRADESH,HAMIRPUR,2001,3,3,1,17,2,33,0,59,3382729,1.74E-05
HIMACHAL PRADESH,KANGRA,2001,18,21,1,43,0,58,0,141,3382729,4.17E-05
HIMACHAL PRADESH,KINNAUR,2001,6,3,0,4,0,2,0,15,3382729,4.43E-06
HIMACHAL PRADESH,KULLU,2001,13,6,0,12,0,2,0,33,3382729,9.76E-06
HIMACHAL PRADESH,LAHAUL-SPITI,2001,2,1,0,0,0,1,0,4,3382729,1.18E-06
HIMACHAL PRADESH,MANDI,2001,16,10,0,59,4,56,0,145,3382729,4.29E-05
HIMACHAL PRADESH,SHIMLA,2001,18,11,2,50,1,31,0,113,3382729,3.34E-05
HIMACHAL PRADESH,SIRMAUR,2001,10,11,3,33,4,22,0,83,3382729,2.45E-05
HIMACHAL PRADESH,SOLAN,2001,12,10,2,23,1,24,0,72,3382729,2.13E-05
HIMACHAL PRADESH,UNA,2001,9,5,0,11,0,20,0,45,3382729,1.33E-05
HIMACHAL PRADESH,TOTAL,2001,124,105,10,310,14,317,0,880,3382729,0.000260145
JAMMU & KASHMIR,ANANTNAG,2001,6,36,0,53,12,0,0,107,5900640,1.81E-05
JAMMU & KASHMIR,AWANTIPORA,2001,1,13,0,8,2,0,0,24,5900640,4.07E-06
JAMMU & KASHMIR,BARAMULLA,2001,28,59,0,93,14,0,0,194,5900640,3.29E-05
JAMMU & KASHMIR,BORDER,2001,12,10,0,15,5,3,0,45,5900640,7.63E-06
JAMMU & KASHMIR,BUDGAM,2001,7,34,0,35,9,0,0,85,5900640,1.44E-05
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,0,5900640,0
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0,0,5900640,0
JAMMU & KASHMIR,DODA,2001,7,15,0,6,2,1,0,31,5900640,5.25E-06
JAMMU & KASHMIR,GANDERBAL,2001,5,31,0,30,4,0,0,70,5900640,1.19E-05
JAMMU & KASHMIR,JAMMU,2001,13,43,5,40,94,26,0,221,5900640,3.75E-05
JAMMU & KASHMIR,KARGIL,2001,0,1,0,1,0,0,0,2,5900640,3.39E-07
JAMMU & KASHMIR,KATHUA,2001,13,10,3,14,4,1,0,45,5900640,7.63E-06
JAMMU & KASHMIR,KULGAM,2001,6,31,0,7,11,0,0,55,5900640,9.32E-06
JAMMU & KASHMIR,KUPWARA,2001,6,29,0,62,2,0,0,99,5900640,1.68E-05
JAMMU & KASHMIR,LEH,2001,0,1,0,1,0,0,0,2,5900640,3.39E-07
JAMMU & KASHMIR,POONCH,2001,13,10,0,4,6,2,0,35,5900640,5.93E-06
JAMMU & KASHMIR,PULWAMA,2001,7,33,0,19,12,0,0,71,5900640,1.20E-05
JAMMU & KASHMIR,RAILWAYS,2001,0,0,0,0,0,0,0,0,5900640,0
JAMMU & KASHMIR,RAJOURI,2001,17,20,3,7,6,6,0,59,5900640,1.00E-05
JAMMU & KASHMIR,RAMBAN,2001,3,3,0,3,2,0,0,11,5900640,1.86E-06
JAMMU & KASHMIR,REASI,2001,7,9,0,5,4,0,0,25,5900640,4.24E-06
JAMMU & KASHMIR,SRINAGAR,2001,8,102,0,207,88,2,0,407,5900640,6.90E-05
JAMMU & KASHMIR,UDHAMPUR,2001,10,14,2,12,11,9,0,58,5900640,9.83E-06
JAMMU & KASHMIR,TOTAL,2001,169,504,13,622,288,50,0,1646,5900640,0.000278953
JHARKHAND,BOKARO,2001,26,32,25,24,2,45,0,154,16057819,9.59E-06
JHARKHAND,CHAIBASA,2001,32,10,0,6,0,0,0,48,16057819,2.99E-06
JHARKHAND,CHATRA,2001,6,3,7,0,0,6,0,22,16057819,1.37E-06
JHARKHAND,DEOGHAR,2001,22,0,10,13,1,10,0,56,16057819,3.49E-06
JHARKHAND,DHANBAD,2001,32,45,30,47,0,18,0,172,16057819,1.07E-05
JHARKHAND,DHANBAD RLY.,2001,2,0,0,0,0,0,0,2,16057819,1.25E-07
JHARKHAND,DUMKA,2001,27,0,3,20,0,23,0,73,16057819,4.55E-06
JHARKHAND,GARHWA,2001,11,2,15,0,0,5,0,33,16057819,2.06E-06
JHARKHAND,GIRIDIH,2001,42,10,30,13,0,57,0,152,16057819,9.47E-06
JHARKHAND,GODDA,2001,37,26,1,0,0,0,0,64,16057819,3.99E-06
JHARKHAND,GUMLA,2001,29,11,0,2,0,10,1,53,16057819,3.30E-06
JHARKHAND,HAZARIBAGH,2001,41,31,31,15,0,18,0,136,16057819,8.47E-06
JHARKHAND,JAMSHEDPUR,2001,50,51,6,58,0,88,0,253,16057819,1.58E-05
JHARKHAND,JAMSHEDPUR RLY.,2001,1,0,0,1,0,0,0,2,16057819,1.25E-07
JHARKHAND,JAMTARA,2001,18,11,5,13,0,20,0,67,16057819,4.17E-06
JHARKHAND,KODERMA,2001,2,2,11,8,1,29,0,53,16057819,3.30E-06
JHARKHAND,LATEHAR,2001,12,2,6,0,0,0,0,20,16057819,1.25E-06
JHARKHAND,LOHARDAGGA,2001,12,8,0,4,0,10,0,34,16057819,2.12E-06
JHARKHAND,PAKUR,2001,23,0,7,0,0,18,0,48,16057819,2.99E-06
JHARKHAND,PALAMU,2001,15,2,18,8,0,28,1,72,16057819,4.48E-06
JHARKHAND,RANCHI,2001,73,1,4,24,1,78,0,181,16057819,1.13E-05
JHARKHAND,SAHEBGANJ,2001,20,5,3,23,0,21,0,72,16057819,4.48E-06
JHARKHAND,SARAIKELA,2001,17,15,4,18,0,0,0,54,16057819,3.36E-06
JHARKHAND,SIMDEGA,2001,17,12,1,0,0,0,0,30,16057819,1.87E-06
JHARKHAND,TOTAL,2001,567,279,217,297,5,484,2,1851,16057819,0.000115271
KARNATAKA,BAGALKOT,2001,2,7,1,39,0,50,0,99,30128640,3.29E-06
KARNATAKA,BANGALORE COMMR.,2001,40,56,40,223,51,229,0,639,30128640,2.12E-05
KARNATAKA,BANGALORE RURAL,2001,13,10,30,90,0,123,0,266,30128640,8.83E-06
KARNATAKA,BELGAUM,2001,8,12,4,62,0,125,0,211,30128640,7.00E-06
KARNATAKA,BELLARY,2001,16,11,5,82,0,49,0,163,30128640,5.41E-06
KARNATAKA,BIDAR,2001,7,10,2,90,3,51,0,163,30128640,5.41E-06
KARNATAKA,BIJAPUR,2001,6,19,1,65,0,92,0,183,30128640,6.07E-06
KARNATAKA,CHAMARAJNAGAR,2001,4,5,7,43,0,15,0,74,30128640,2.46E-06
KARNATAKA,CHICKMAGALUR,2001,8,7,4,57,8,83,0,167,30128640,5.54E-06
KARNATAKA,CHITRADURGA,2001,18,0,2,48,0,35,0,103,30128640,3.42E-06
KARNATAKA,DAKSHIN KANNADA,2001,3,6,1,24,0,25,0,59,30128640,1.96E-06
KARNATAKA,DAVANAGERE,2001,22,13,8,84,5,77,0,209,30128640,6.94E-06
KARNATAKA,DHARWAD COMMR.,2001,4,4,2,3,0,24,0,37,30128640,1.23E-06
KARNATAKA,DHARWAD RURAL,2001,3,2,3,8,0,8,0,24,30128640,7.97E-07
KARNATAKA,GADAG,2001,2,2,3,10,0,18,0,35,30128640,1.16E-06
KARNATAKA,GULBARGA,2001,20,21,6,143,1,104,0,295,30128640,9.79E-06
KARNATAKA,HASSAN,2001,20,0,4,75,1,68,0,168,30128640,5.58E-06
KARNATAKA,HAVERI,2001,3,11,5,42,0,32,0,93,30128640,3.09E-06
KARNATAKA,K.G.F.,2001,1,7,4,12,0,20,0,44,30128640,1.46E-06
KARNATAKA,KODAGU,2001,4,4,4,22,0,14,0,48,30128640,1.59E-06
KARNATAKA,KOLAR,2001,17,18,18,42,0,39,0,134,30128640,4.45E-06
KARNATAKA,KOPPAL,2001,6,12,5,40,1,23,0,87,30128640,2.89E-06
KARNATAKA,MANDYA,2001,15,1,7,50,0,72,0,145,30128640,4.81E-06
KARNATAKA,MYSORE COMMR.,2001,2,7,9,8,1,48,0,75,30128640,2.49E-06
KARNATAKA,MYSORE RURAL,2001,12,4,6,79,2,51,0,154,30128640,5.11E-06
KARNATAKA,RAICHUR,2001,12,5,1,63,4,52,0,137,30128640,4.55E-06
KARNATAKA,RAILWAYS,2001,1,0,1,0,0,0,0,2,30128640,6.64E-08
KARNATAKA,SHIMOGA,2001,12,10,6,65,0,134,0,227,30128640,7.53E-06
KARNATAKA,TUMKUR,2001,6,4,28,53,0,44,0,135,30128640,4.48E-06
KARNATAKA,UDUPI,2001,2,0,0,16,2,16,0,36,30128640,1.19E-06
KARNATAKA,UTTAR KANNADA,2001,4,3,3,27,2,34,0,73,30128640,2.42E-06
KARNATAKA,TOTAL,2001,293,271,220,1665,81,1755,0,4285,30128640,0.000142223
KERALA,ALAPUZHA,2001,21,6,1,162,2,105,0,297,17378649,1.71E-05
KERALA,CBCID,2001,2,0,0,0,0,4,0,6,17378649,3.45E-07
KERALA,ERNAKULAM,2001,38,7,3,162,3,161,0,374,17378649,2.15E-05
KERALA,IDUKKI,2001,34,0,0,145,16,127,0,322,17378649,1.85E-05
KERALA,KANNUR,2001,42,7,0,77,7,157,0,290,17378649,1.67E-05
KERALA,KASARGOD,2001,28,1,0,0,0,66,0,95,17378649,5.47E-06
KERALA,KOLLAM,2001,55,9,3,235,0,315,0,617,17378649,3.55E-05
KERALA,KOTTAYAM,2001,22,12,2,125,8,82,0,251,17378649,1.44E-05
KERALA,KOZHIKODE,2001,39,10,2,118,8,319,0,496,17378649,2.85E-05
KERALA,MALAPPURAM,2001,71,4,3,92,3,448,0,621,17378649,3.57E-05
KERALA,PALAKKAD,2001,63,10,5,112,10,215,0,415,17378649,2.39E-05
KERALA,PATHANAMTHITTA,2001,12,0,0,90,3,95,0,200,17378649,1.15E-05
KERALA,RAILWAYS,2001,1,0,0,0,0,0,0,1,17378649,5.75E-08
